Pollutant,Year,total_records,reported_values,value_availability_pct
Ammonia (NH3),2018,223,89,39.9
Ammonia (NH3),2019,223,76,34.1
Ammonia (NH3),2020,223,76,34.1
Ammonia (NH3),2021,223,74,33.2
Ammonia (NH3),2022,223,66,29.6
Ammonia (NH3),2023,223,48,21.5
Ammonia (NH3),2024,223,47,21.1
Carbon dioxide (CO2) excluding biomass,2018,121,95,78.5
Carbon dioxide (CO2) excluding biomass,2019,121,90,74.4
Carbon dioxide (CO2) excluding biomass,2020,121,82,67.8
Carbon dioxide (CO2) excluding biomass,2021,121,89,73.6
Carbon dioxide (CO2) excluding biomass,2022,121,84,69.4
Carbon dioxide (CO2) excluding biomass,2023,121,85,70.2
Carbon dioxide (CO2) excluding biomass,2024,121,87,71.9
Nitrogen oxides (NOX),2018,106,69,65.1
Nitrogen oxides (NOX),2019,106,68,64.2
Nitrogen oxides (NOX),2020,106,55,51.9
Nitrogen oxides (NOX),2021,106,71,67.0
Nitrogen oxides (NOX),2022,106,67,63.2
Nitrogen oxides (NOX),2023,106,57,53.8
Nitrogen oxides (NOX),2024,106,54,50.9
Nitrous oxide (N2O),2018,54,32,59.3
Nitrous oxide (N2O),2019,54,31,57.4
Nitrous oxide (N2O),2020,54,28,51.9
Nitrous oxide (N2O),2021,54,28,51.9
Nitrous oxide (N2O),2022,54,28,51.9
Nitrous oxide (N2O),2023,54,27,50.0
Nitrous oxide (N2O),2024,54,21,38.9
Non-methane volatile organic compounds (NMVOC),2018,46,34,73.9
Non-methane volatile organic compounds (NMVOC),2019,46,33,71.7
Non-methane volatile organic compounds (NMVOC),2020,46,34,73.9
Non-methane volatile organic compounds (NMVOC),2021,46,32,69.6
Non-methane volatile organic compounds (NMVOC),2022,46,31,67.4
Non-methane volatile organic compounds (NMVOC),2023,46,30,65.2
Non-methane volatile organic compounds (NMVOC),2024,46,29,63.0
Particulate matter (PM10),2018,34,23,67.6
Particulate matter (PM10),2019,34,23,67.6
Particulate matter (PM10),2020,34,21,61.8
Particulate matter (PM10),2021,34,23,67.6
Particulate matter (PM10),2022,34,24,70.6
Particulate matter (PM10),2023,34,16,47.1
Particulate matter (PM10),2024,34,16,47.1
